App,HyperScan,NFA-CG,AsyncAP,GPU-NFA,NAP,NAP-Best
APR,T,8.0,T,3.6,8.4,9.4
Brill,1.2,1.1,4.7,6.8,8.6,9.5
CRP1,0.3,5.1,22.3,4.1,33.1,37.0
CRP2,T,2.5,14.5,1.8,7.3,8.5
CAV,327.0,U,6.6,U,2334.8,5596.9
ER,1.6,0.7,6.8,9.1,64.3,80.9
HM,T,4.9,25.1,5.6,7.5,7.9
LV,T,1.1,0.7,1.2,0.5,0.9
Pro,1.9,4.8,1.3,30.5,141.7,158.0
RF,0.4,0.3,1.1,4.8,1.8,1.8
SM,2.9,3.1,T,8.0,4.5,4.6
Snort,36.6,U,20.2,U,63.8,114.9
YARA,W,0.3,6.9,3.5,50.4,52.8
DS,196.0,7.3,57.3,41.1,1452.6,1612.1
PEN,214.2,9.3,T,33.0,208.9,222.5
Bro,W,143.2,732.3,347.7,3897.3,13452.8
EM,W,78.5,440.6,283.2,3690.2,8947.4
Ran1,W,79.6,448.1,276.4,3598.9,11461.3
Ran5,W,77.6,447.9,278.9,3405.5,11743.4
TCP,148.9,31.3,198.5,179.8,2037.3,3298.0
