App,HyperScan,NFA-CG,AsyncAP,GPU-NFA,NAP,NAP-Best
APR,0.03,1.28,T,2.03,0.56,0.56
Brill,1.19,0.98,2.78,0.49,2.44,4.85
CRP1,0.32,1.51,10.56,0.44,7.84,22.34
CRP2,0.16,1.16,8.14,0.23,4.22,6.28
CAV,262.67,U,1.05,U,13.71,38.92
ER,1.6,0.78,2.58,1.63,13.17,36.63
HM,0.04,1.37,13.21,0.27,4.27,6.46
LV,0.02,0.96,0.69,0.21,0.62,0.72
Pro,1.85,1.78,1.29,0.53,8.82,13.65
RF,0.4,0.39,0.67,1.06,5.72,7.57
SM,2.89,1.75,T,1.11,0.88,0.88
Snort,31.54,U,4.29,U,1.36,1.83
YARA,61.31,0.25,1.52,0.79,3.11,3.35
DS,71.91,1.37,10.46,1.11,15.08,45.04
PEN,84.03,1.58,0.08,1.08,1.11,1.16
Bro,285.88,1.69,39.06,1.49,18.78,111.66
EM,1177.86,1.66,35.71,1.74,18.84,133.28
Ran1,138.93,1.64,35.72,1.66,18.87,126.42
Ran5,195.16,1.6,36.79,1.66,18.84,117.47
TCP,57.65,1.66,11.86,1.39,15.65,51.95
